Iso3	Lin2	Lin3	Lin4	Lin1	Lin5	Lin6	tot14	tot	per14_Lin1	per14_Lin2	per14_Lin3	per14_Lin4	per_Lin1	per_Lin2	per_Lin3	per_Lin4	per_Lin5	per_Lin6
ARG	0	0	558	0	0	0	558	558	0	0	0	100	0	0	0	100	0	0
ARM	51	0	54	8	0	0	113	113	7.07964601769912	45.1327433628319	0	47.787610619469	7.07964601769912	45.1327433628319	0	47.787610619469	0	0
AUS	44	13	96	44	0	0	197	197	22.3350253807107	22.3350253807107	6.5989847715736	48.7309644670051	22.3350253807107	22.3350253807107	6.5989847715736	48.7309644670051	0	0
AUT	26	0	1281	0	0	0	1307	1307	0	1.98928844682479	0	98.0107115531752	0	1.98928844682479	0	98.0107115531752	0	0
AZE	53	0	16	0	0	0	69	69	0	76.8115942028985	0	23.1884057971014	0	76.8115942028985	0	23.1884057971014	0	0
BEL	39	35	688	0	0	0	762	762	0	5.11811023622047	4.59317585301837	90.2887139107612	0	5.11811023622047	4.59317585301837	90.2887139107612	0	0
BGD	172	127	119	421	0	0	839	839	50.1787842669845	20.5005959475566	15.1370679380215	14.1835518474374	50.1787842669845	20.5005959475566	15.1370679380215	14.1835518474374	0	0
BGR	0	0	192	0	0	0	192	192	0	0	0	100	0	0	0	100	0	0
BRA	0	0	2072	0	0	0	2072	2072	0	0	0	100	0	0	0	100	0	0
CAF	0	3	144	0	0	0	147	147	0	0	2.04081632653061	97.9591836734694	0	0	2.04081632653061	97.9591836734694	0	0
CAN	4	0	236	0	0	0	240	240	0	1.66666666666667	0	98.3333333333333	0	1.66666666666667	0	98.3333333333333	0	0
CHN	26	0	36	0	0	0	62	62	0	41.9354838709677	0	58.0645161290323	0	41.9354838709677	0	58.0645161290323	0	0
CIV	0	1	37	0	7	3	38	48	0	0	2.63157894736842	97.3684210526316	0	0	2.08333333333333	77.0833333333333	14.5833333333333	6.25
CMR	0	0	429	0	49	0	429	478	0	0	0	100	0	0	0	89.7489539748954	10.2510460251046	0
COM	0	4	4	4	0	0	12	12	33.3333333333333	0	33.3333333333333	33.3333333333333	33.3333333333333	0	33.3333333333333	33.3333333333333	0	0
CUB	27	0	210	0	0	0	237	237	0	11.3924050632911	0	88.6075949367088	0	11.3924050632911	0	88.6075949367088	0	0
CZE	16	0	542	0	0	0	558	558	0	2.8673835125448	0	97.1326164874552	0	2.8673835125448	0	97.1326164874552	0	0
DEU	21	11	310	0	0	0	342	342	0	6.14035087719298	3.21637426900585	90.6432748538012	0	6.14035087719298	3.21637426900585	90.6432748538012	0	0
DNK	18	0	199	285	0	0	502	502	56.7729083665339	3.58565737051793	0	39.6414342629482	56.7729083665339	3.58565737051793	0	39.6414342629482	0	0
DOM	0	0	88	0	0	0	88	88	0	0	0	100	0	0	0	100	0	0
DZA	0	0	117	0	0	0	117	117	0	0	0	100	0	0	0	100	0	0
EGY	0	3	67	0	0	1	70	71	0	0	4.28571428571429	95.7142857142857	0	0	4.22535211267606	94.3661971830986	0	1.40845070422535
ESP	0	0	516	13	0	0	529	529	2.45746691871456	0	0	97.5425330812854	2.45746691871456	0	0	97.5425330812854	0	0
EST	50	0	58	0	0	0	108	108	0	46.2962962962963	0	53.7037037037037	0	46.2962962962963	0	53.7037037037037	0	0
ETH	0	0	135	0	0	0	135	135	0	0	0	100	0	0	0	100	0	0
FIN	4	0	316	0	0	0	320	320	0	1.25	0	98.75	0	1.25	0	98.75	0	0
FXX	43	0	839	0	0	0	882	882	0	4.87528344671202	0	95.124716553288	0	4.87528344671202	0	95.124716553288	0	0
GBR	0	59	325	161	0	0	545	545	29.5412844036697	0	10.8256880733945	59.6330275229358	29.5412844036697	0	10.8256880733945	59.6330275229358	0	0
GEO	65	0	153	5	0	0	223	223	2.24215246636771	29.1479820627803	0	68.609865470852	2.24215246636771	29.1479820627803	0	68.609865470852	0	0
GLP	0	0	254	0	0	0	254	254	0	0	0	100	0	0	0	100	0	0
GMB	10	0	143	4	0	102	157	259	2.54777070063694	6.36942675159236	0	91.0828025477707	1.54440154440154	3.86100386100386	0	55.2123552123552	0	39.3822393822394
GNB	0	0	79	8	0	121	87	208	9.19540229885057	0	0	90.8045977011494	3.84615384615385	0	0	37.9807692307692	0	58.1730769230769
GRC	3	2	148	0	0	0	153	153	0	1.96078431372549	1.30718954248366	96.7320261437908	0	1.96078431372549	1.30718954248366	96.7320261437908	0	0
GUF	7	0	376	36	0	0	419	419	8.59188544152745	1.67064439140811	0	89.7374701670644	8.59188544152745	1.67064439140811	0	89.7374701670644	0	0
HTI	0	0	378	0	0	0	378	378	0	0	0	100	0	0	0	100	0	0
HUN	0	0	61	0	0	0	61	61	0	0	0	100	0	0	0	100	0	0
IDN	152	0	128	23	0	0	303	303	7.59075907590759	50.1650165016502	0	42.2442244224422	7.59075907590759	50.1650165016502	0	42.2442244224422	0	0
IND	116	435	143	323	0	0	1017	1017	31.7600786627335	11.4060963618486	42.7728613569322	14.0609636184857	31.7600786627335	11.4060963618486	42.7728613569322	14.0609636184857	0	0
IRN	9	55	120	0	0	0	184	184	0	4.89130434782609	29.8913043478261	65.2173913043478	0	4.89130434782609	29.8913043478261	65.2173913043478	0	0
ISR	15	0	0	0	0	0	15	15	0	100	0	0	0	100	0	0	0	0
