burnIn   <= 54003000,   maxState  = 540030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Asia.Central_Asia	0.9378	0.9779	0.6234	1.2386E-4	2.9181	6627.0444	2.0842E-4	0.6235	
Geography.rates.Eastern_Asia.Western_Asia	0.904	0.9569	0.5963	3.3554E-6	2.8304	6374.1609	3.3554E-6	0.5963	
Geography.rates.Eastern_Asia.Southern_Asia	0.9557	0.9804	0.6488	5.944E-5	2.9129	8636.6518	5.944E-5	0.6488	
Geography.rates.Eastern_Asia.South_Eastern_Asia	1.3701	0.7772	1.2296	0.1477	2.8906	9937.5603	0.5191	1.4174	
Geography.rates.Eastern_Asia.Southern_Europe	0.9863	0.9963	0.6782	4.0683E-5	2.9777	8654.1992	4.0683E-5	0.6782	
Geography.rates.Eastern_Asia.Western_Europe	0.9886	1.002	0.6796	2.1674E-4	3.0008	7963.6031	2.1674E-4	0.6796	
Geography.rates.Eastern_Asia.Eastern_Europe	0.937	0.9696	0.6252	1.3982E-4	2.8822	8180.1795	1.8065E-3	0.6262	
Geography.rates.Eastern_Asia.Northern_Africa	0.9414	0.9799	0.6273	4.2496E-5	2.9013	7121.5643	4.2496E-5	0.6273	
Geography.rates.Eastern_Asia.Eastern_Africa	0.8896	0.9402	0.5703	3.4343E-4	2.8009	7822.7949	2.65E-3	0.5718	
Geography.rates.Eastern_Asia.Western_Africa	1.0012	1.003	0.6883	2.924E-4	3.0215	7692.9461	1.7916E-3	0.6894	
Geography.rates.Eastern_Asia.Southern_Africa	0.9845	0.9972	0.6744	5.1382E-5	2.9773	8198.0978	5.1382E-5	0.6744	
Geography.rates.Eastern_Asia.Micronesia	0.9331	0.9675	0.6273	8.1463E-5	2.8731	7365.4244	4.6696E-5	0.6273	
Geography.rates.Eastern_Asia.Melanesia	0.942	0.9862	0.6269	7.3296E-5	2.8988	6719.4253	7.3296E-5	0.6269	
Geography.rates.Central_Asia.Western_Asia	0.8955	0.9442	0.5905	3.0366E-6	2.7862	5714.7982	4.9326E-6	0.5905	
Geography.rates.Central_Asia.Southern_Asia	0.9367	0.9721	0.6265	6.9654E-5	2.8909	7422.5556	9.4057E-5	0.6265	
Geography.rates.Central_Asia.South_Eastern_Asia	0.9289	0.9734	0.6145	3.2867E-4	2.876	6675.7874	1.2734E-3	0.6151	
Geography.rates.Central_Asia.Southern_Europe	0.9372	0.9828	0.6196	3.5688E-5	2.9305	6923.7276	1.5111E-4	0.6196	
Geography.rates.Central_Asia.Western_Europe	0.9367	0.9729	0.6246	6.633E-5	2.8926	6820.362	1.7933E-4	0.6246	
Geography.rates.Central_Asia.Eastern_Europe	0.9659	0.9885	0.6578	1.3909E-4	2.9538	7112.7168	2.3825E-4	0.6579	
Geography.rates.Central_Asia.Northern_Africa	0.8726	0.9363	0.56	1.3239E-4	2.77	6165.0299	1.6982E-4	0.56	
Geography.rates.Central_Asia.Eastern_Africa	0.9845	1.0102	0.67	5.573E-5	2.9892	7234.6856	5.573E-5	0.67	
Geography.rates.Central_Asia.Western_Africa	0.9407	0.9869	0.6216	4.8239E-5	2.9356	6686.6902	4.8239E-5	0.6216	
Geography.rates.Central_Asia.Southern_Africa	0.9423	0.9696	0.6316	7.1324E-5	2.8623	7297.7635	7.1324E-5	0.6316	
Geography.rates.Central_Asia.Micronesia	0.898	0.9582	0.5903	2.1362E-4	2.8288	6546.9357	2.1362E-4	0.5903	
Geography.rates.Central_Asia.Melanesia	0.8754	0.9392	0.5651	2.7727E-4	2.7845	5784.5958	2.7727E-4	0.5651	
Geography.rates.Western_Asia.Southern_Asia	0.9412	0.994	0.6218	1.1795E-4	2.9327	6426.87	1.3153E-4	0.6218	
Geography.rates.Western_Asia.South_Eastern_Asia	0.937	0.9844	0.6158	5.4633E-5	2.9417	6326.8281	2.6336E-4	0.6159	
Geography.rates.Western_Asia.Southern_Europe	0.9403	0.9754	0.6278	4.3909E-5	2.9003	7759.7797	1.3203E-4	0.6278	
Geography.rates.Western_Asia.Western_Europe	0.9213	0.9639	0.6126	1.594E-4	2.8422	7272.2505	1.594E-4	0.6126	
Geography.rates.Western_Asia.Eastern_Europe	0.9494	0.9871	0.6291	5.3678E-5	2.9241	6797.9786	5.3678E-5	0.6291	
Geography.rates.Western_Asia.Northern_Africa	0.8744	0.9469	0.558	9.2606E-5	2.7625	4897.1494	9.2606E-5	0.558	
Geography.rates.Western_Asia.Eastern_Africa	0.9586	0.9973	0.6502	6.9547E-5	2.9509	6929.7114	1.9047E-4	0.6503	
Geography.rates.Western_Asia.Western_Africa	0.9154	0.9706	0.6006	1.9914E-6	2.8675	6464.2705	1.9914E-6	0.6006	
Geography.rates.Western_Asia.Southern_Africa	0.9373	0.9782	0.6275	2.1005E-4	2.9106	6628.5294	8.1637E-4	0.628	
Geography.rates.Western_Asia.Micronesia	0.9176	0.974	0.601	8.0389E-5	2.8913	5542.9893	8.0389E-5	0.601	
Geography.rates.Western_Asia.Melanesia	0.8977	0.9635	0.5798	1.1693E-4	2.8375	5239.3074	2.7374E-4	0.5799	
Geography.rates.Southern_Asia.South_Eastern_Asia	0.9901	0.9729	0.6985	3.5318E-5	2.9217	7686.0806	3.5318E-5	0.6985	
Geography.rates.Southern_Asia.Southern_Europe	0.9593	0.9681	0.6579	1.4107E-4	2.9081	8215.8785	1.4107E-4	0.6579	
Geography.rates.Southern_Asia.Western_Europe	0.9471	0.965	0.645	9.341E-6	2.8874	7523.9492	9.341E-6	0.645	
Geography.rates.Southern_Asia.Eastern_Europe	1.5033	1.1092	1.3318	4.1948E-4	3.5215	140.6747	3.7927E-3	1.334	
