statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Asia.Central_Asia	0.9698	1.0002	0.6556	1.42E-04	2.9638	9274.7225	3.14E-04	0.6557
Geography.rates.Eastern_Asia.Western_Asia	0.9846	1.0069	0.6718	8.64E-05	2.9839	9909.4891	2.09E-04	0.6718
Geography.rates.Eastern_Asia.Southern_Asia	0.9998	1.0138	0.6854	1.13E-05	3.0143	8655.5805	1.13E-05	0.6854
Geography.rates.Eastern_Asia.South_Eastern_Asia	3.0663	0.8985	2.9727	1.513	4.8772	10494.658	2.1908	3.3473
Geography.rates.Eastern_Asia.Southern_Europe	0.9799	0.9881	0.6689	5.46E-05	2.9851	9121.2834	1.71E-04	0.669
Geography.rates.Eastern_Asia.Western_Europe	1.0156	1.0216	0.7012	3.46E-04	3.0507	8535.3109	3.06E-03	0.7036
Geography.rates.Eastern_Asia.Eastern_Europe	0.9597	0.9736	0.6582	3.09E-05	2.8985	9692.4103	3.09E-05	0.6582
Geography.rates.Eastern_Asia.Eastern_Africa	0.8299	0.9188	0.5015	6.33E-06	2.6699	9338.7485	6.33E-06	0.5015
Geography.rates.Eastern_Asia.Western_Africa	1.0003	0.9934	0.6992	1.12E-04	3.001	8705.4638	6.86E-04	0.6993
Geography.rates.Eastern_Asia.Southern_Africa	0.9916	0.9874	0.6932	3.24E-04	2.9555	9052.7551	6.97E-04	0.6935
Geography.rates.Eastern_Asia.Micronesia	0.9985	1.0044	0.6882	1.33E-04	3.0238	9892.2433	1.19E-03	0.6893
Geography.rates.Eastern_Asia.Melanesia	0.9901	0.99	0.6843	2.86E-06	2.9185	8671.6407	2.86E-06	0.6843
Geography.rates.Central_Asia.Western_Asia	0.8516	0.9109	0.5461	1.61E-04	2.6947	8721.8123	2.11E-03	0.5476
Geography.rates.Central_Asia.Southern_Asia	0.568	0.2706	0.5197	0.1178	1.0871	11972.5843	0.2966	0.6082
Geography.rates.Central_Asia.South_Eastern_Asia	0.9655	0.9817	0.6615	4.91E-04	2.902	9246.2411	6.10E-04	0.6616
Geography.rates.Central_Asia.Southern_Europe	0.9788	0.9821	0.6865	5.97E-05	2.9721	9014.3168	7.17E-06	0.6865
Geography.rates.Central_Asia.Western_Europe	0.9851	0.9982	0.6762	9.66E-05	2.9652	8683.1749	1.79E-04	0.6763
Geography.rates.Central_Asia.Eastern_Europe	1.1638	0.499	1.0822	0.3386	2.1645	12309.5454	0.6641	1.2603
