FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Eastern_Asia	Central_Asia	0.233682495	0.039746366
Eastern_Asia	Western_Asia	0.026316004	0.004639654
Eastern_Asia	Southern_Asia	0.045770863	0.008042066
Eastern_Asia	South_Eastern_Asia	36499.19167	1
Eastern_Asia	Southern_Europe	0.031608672	0.005567584
Eastern_Asia	Western_Europe	0.028079129	0.004948964
Eastern_Asia	Eastern_Europe	0.291051262	0.049025673
Eastern_Asia	Eastern_Africa	1.537503619	0.214042685
Eastern_Asia	Western_Africa	0.014882341	0.002629137
Eastern_Asia	Southern_Africa	0.03337509	0.005876895
Eastern_Asia	Micronesia	0.119475432	0.020723786
Eastern_Asia	Melanesia	0.021033195	0.003711723
Central_Asia	Western_Asia	1.603116312	0.22115682
Central_Asia	Southern_Asia	9120.563672	0.99938138
Central_Asia	South_Eastern_Asia	0.187647375	0.032168265
Central_Asia	Southern_Europe	0.028079129	0.004948964
Central_Asia	Western_Europe	0.031608672	0.005567584
Central_Asia	Eastern_Europe	36499.19167	1
Central_Asia	Eastern_Africa	0.014004738	0.002474482
Central_Asia	Western_Africa	0.015760217	0.002783792
Central_Asia	Southern_Africa	0.025434851	0.004484998
Central_Asia	Micronesia	0.025434851	0.004484998
Central_Asia	Melanesia	0.024553973	0.004330343
Western_Asia	Southern_Asia	0.97233085	0.146922363
Western_Asia	South_Eastern_Asia	0.017516785	0.003093102
Western_Asia	Southern_Europe	0.022793037	0.004021033
Western_Asia	Western_Europe	0.022793037	0.004021033
Western_Asia	Eastern_Europe	36499.19167	0.999845345
Western_Asia	Eastern_Africa	0.013127407	0.002319827
Western_Asia	Western_Africa	0.01137356	0.002010517
Western_Asia	Southern_Africa	0.032491743	0.005722239
Western_Asia	Micronesia	0.029843352	0.005258274
Western_Asia	Melanesia	0.037795949	0.00665017
Southern_Asia	South_Eastern_Asia	36499.19167	1
Southern_Asia	Southern_Europe	0.037795949	0.00665017
Southern_Asia	Western_Europe	0.014004738	0.002474482
Southern_Asia	Eastern_Europe	843.3040453	0.99334983
Southern_Asia	Eastern_Africa	36499.19167	1
Southern_Asia	Western_Africa	0.021912979	0.003866378
Southern_Asia	Southern_Africa	0.019274444	0.003402413
Southern_Asia	Micronesia	0.006118535	0.001082586
Southern_Asia	Melanesia	0.019274444	0.003402413
South_Eastern_Asia	Southern_Europe	56.33199254	0.908908135
South_Eastern_Asia	Western_Europe	36499.19167	1
South_Eastern_Asia	Eastern_Europe	61.83093399	0.916331581
South_Eastern_Asia	Eastern_Africa	128.0716929	0.957779152
South_Eastern_Asia	Western_Africa	0.022793037	0.004021033
South_Eastern_Asia	Southern_Africa	36499.19167	1
South_Eastern_Asia	Micronesia	323.2267484	0.982833282
South_Eastern_Asia	Melanesia	0.102228137	0.017785339
Southern_Europe	Western_Europe	0.028079129	0.004948964
Southern_Europe	Eastern_Europe	0.035142608	0.006186205
Southern_Europe	Eastern_Africa	36499.19167	1
Southern_Europe	Western_Africa	0.463936241	0.075935663
Southern_Europe	Southern_Africa	0.043110073	0.007578101
Southern_Europe	Micronesia	0.02719743	0.004794309
Southern_Europe	Melanesia	23.48828842	0.806217136
Western_Europe	Eastern_Europe	36499.19167	1
Western_Europe	Eastern_Africa	0.065359643	0.011444479
Western_Europe	Western_Africa	0.013127407	0.002319827
Western_Europe	Southern_Africa	0.029843352	0.005258274
Western_Europe	Micronesia	0.021912979	0.003866378
Western_Europe	Melanesia	0.020153683	0.003557068
Eastern_Europe	Eastern_Africa	36499.19167	1
Eastern_Europe	Western_Africa	1.67727631	0.229044231
Eastern_Europe	Southern_Africa	0.028961103	0.005103619
Eastern_Europe	Micronesia	0.016638365	0.002938447
Eastern_Europe	Melanesia	0.058220868	0.010207238
Eastern_Africa	Western_Africa	36499.19167	1
Eastern_Africa	Southern_Africa	36499.19167	1
Eastern_Africa	Micronesia	0.016638365	0.002938447
Eastern_Africa	Melanesia	1.09701409	0.162697185
Western_Africa	Southern_Africa	0.012250347	0.002165172
Western_Africa	Micronesia	0.01137356	0.002010517
Western_Africa	Melanesia	0.055548427	0.009743273
Southern_Africa	Micronesia	0.015760217	0.002783792
Southern_Africa	Melanesia	0.043996727	0.007732756
Micronesia	Melanesia	0.025434851	0.004484998
