Alignment	Theta	Pi	TajimasD
subsamp4_lin4	0.000466901838682	0.000159074281345	-2.39591550827
subsamp4_lin5	8.90736492067e-05	8.16508451061e-05	-0.875653846926
subsamp4_lin6	0.000194105488931	0.000152367305251	-1.12388609598
subsamp4_lin7	5.54469722179e-05	4.56669005269e-05	-1.03867398393
subsamp4_lin1	0.000310329410623	0.00020165021097	-1.56255186194
subsamp4_lin2	0.000335118209659	7.46732173861e-05	-2.66748088983
subsamp4_lin3	0.000176190159974	9.27000531791e-05	-2.14981035512
subsamp1_lin3	0.000170023360515	0.00010448159073	-1.82420102377
subsamp1_lin2	0.000315771471867	7.50499081942e-05	-2.6215174797
subsamp1_lin1	0.000330956025477	0.000194425721575	-1.76750912001
subsamp1_lin7	6.83873400163e-05	5.59656653865e-05	-1.07008427599
subsamp1_lin6	0.000188102484911	0.000143303779808	-1.2447299762
subsamp1_all	0.00119835081906	0.000264020864854	-2.52413710811
subsamp1_lin4	0.000497859294338	0.000155960398617	-2.4856038247
subsamp0_lin1	0.000384726762764	0.000202841335545	-1.98368406818
subsamp0_lin2	0.000309622551329	7.77005585625e-05	-2.58098743174
subsamp0_lin3	0.000227083645394	0.000100049375288	-2.37019724593
subsamp0_lin4	0.000478721892755	0.000162061397925	-2.43662142801
subsamp0_lin5	0.000103049993624	8.14784966053e-05	-1.23390244394
subsamp0_lin6	0.000189090627077	0.000165083702626	-0.748748842753
subsamp0_lin7	4.73821541036e-05	4.68910024314e-05	-0.0674422311536
subsamp9_lin3	0.000186323575628	0.000115723909692	-1.79322505579
subsamp9_lin2	0.000323800240784	7.75509149985e-05	-2.605356773
subsamp9_lin1	0.000352302689918	0.000193555237622	-1.89059498327
subsamp9_lin7	6.45163528143e-05	5.84462658559e-05	-0.719048771132
subsamp3_lin3	0.000205085845239	9.71780248926e-05	-2.31191088585
subsamp3_lin2	0.000343910626101	7.28003027964e-05	-2.6910916148
subsamp9_all	0.00120739675552	0.000254140110149	-2.55594293199
subsamp1_lin5	0.00010228366451	0.00010228366451	inf
subsamp3_all	0.00122165284142	0.000252765084686	-2.56757631608
subsamp6_lin6	0.000212698133016	0.000160709606351	-1.22735088751
subsamp6_lin7	5.37620255904e-05	4.93706529295e-05	-0.857813085013
subsamp6_lin4	0.000490956192548	0.000158383295803	-2.46692765191
subsamp6_lin5	0.000102808727303	0.000102808727303	inf
subsamp6_lin2	0.000318470982654	7.66483074693e-05	-2.61911747737
subsamp6_lin3	0.000175173129949	0.000117209933944	-1.53076308111
subsamp6_lin1	0.000413619433601	0.000203281574643	-2.05077222092
fullSamp_lin1	0.000756085463018	0.000192211986483	-2.57612268573
fullSamp_lin3	0.000387756431982	9.15994602452e-05	-2.72014830486
fullSamp_lin2	0.000448565708652	7.45521700469e-05	-2.71588787137
fullSamp_lin5	0.000171708739227	8.76946993134e-05	-2.18222164094
fullSamp_lin4	0.000779707814505	0.000154026809442	-2.66183876727
fullSamp_lin7	7.98857150206e-05	4.51957165584e-05	-1.71639156942
fullSamp_lin6	0.000303537103923	0.000141102364054	-2.08691354006
subsamp8_lin1	0.000326006469687	0.000200233320595	-1.63491872054
subsamp8_lin2	0.000322551481614	7.70306289845e-05	-2.62019248028
subsamp8_lin3	0.000150388525233	8.69698988329e-05	-1.99539069139
subsamp8_lin4	0.000534706260628	0.000160321709288	-2.51983015214
subsamp8_lin5	7.49928809469e-05	6.88815133061e-05	-0.856138632411
subsamp8_lin6	0.000188649617489	0.000131764831938	-1.57596478561
subsamp8_lin7	2.09307123349e-05	2.09307123349e-05	-inf
subsamp2_lin2	0.000332316540262	7.77736018477e-05	-2.63158969342
subsamp2_lin3	0.000183473705915	9.68508265259e-05	-2.14211489573
subsamp2_lin1	0.000376825465245	0.000198353230369	-1.98723279486
subsamp2_lin6	0.000162848088076	0.000109401354314	-1.64776544216
subsamp2_lin7	4.24330099754e-05	4.09394584447e-05	-0.36950521168
subsamp2_lin4	0.000502794160403	0.000161535013468	-2.47707791608
subsamp2_lin5	9.09817734405e-05	8.33999589872e-05	-0.875656246103
subsamp7_all	0.00120227176771	0.00026620293713	-2.52062284202
subsamp5_all	0.00124503592878	0.000271982486409	-2.53020659469
subsamp7_lin1	0.000315053520735	0.000188445574824	-1.72175493587
subsamp7_lin3	0.000160002597409	0.000107403872038	-1.65041265463
subsamp7_lin2	0.000324363033101	7.59772060149e-05	-2.6259255073
subsamp7_lin5	0.000114552420493	0.000106955871089	-0.696957771435
subsamp7_lin4	0.000493353945142	0.000157348275969	-2.46500903612
subsamp7_lin7	2.33959360727e-05	2.33959360727e-05	nan
subsamp7_lin6	0.000205935289119	0.000154636888581	-1.17900962528
subsamp5_lin7	5.61885507742e-05	5.6050783903e-05	-0.0159582417455
subsamp5_lin6	0.000185362973837	0.000150571303015	-0.981002159417
subsamp5_lin5	0.000124593153177	0.000101915783622	-1.18580713124
subsamp5_lin4	0.000502053153004	0.000159018617417	-2.49363521474
subsamp5_lin3	0.000197643848163	9.15121264888e-05	-2.32794663947
subsamp5_lin2	0.000318416332072	7.69325734047e-05	-2.6186172711
subsamp5_lin1	0.00035128069645	0.000192667604791	-1.91362200823
subsamp4_all	0.00117721090417	0.000262281466788	-2.51609345579
subsamp0_all	0.00125020266875	0.000275191209437	-2.52482186379
subsamp3_lin5	9.24052329655e-05	8.68201175456e-05	-0.635107867773
subsamp3_lin4	0.000434784969007	0.000156303818107	-2.37121869136
subsamp3_lin7	0.0	0.0	None
subsamp3_lin6	0.000172773397109	0.000135452176671	-1.12896234078
subsamp3_lin1	0.000414158653466	0.00020316147097	-2.11821551608
subsamp9_lin6	0.000186572977791	0.000149047293579	-1.10673858389
subsamp9_lin5	9.71511569966e-05	7.65981284905e-05	-1.37797486736
subsamp9_lin4	0.000493342402954	0.000160227281312	-2.47540417671
subsamp8_all	0.00121158920256	0.000263591372314	-2.53307209618
subsamp2_all	0.00123646857549	0.000268714913355	-2.53386232611
subsamp6_all	0.00126619684699	0.000275122379561	-2.53399294303
