BioSample	Runs	Assembly_Method	Country	Exact	Iso2	UN	Lineage	Per_Mis	sample_lon	sample_lat	precision	NearPost	NearPost_lon	NearPost_lat	Level2	Level1
ERS019896	ERR245843	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.2	34.0653992	-11.2047005	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS019934	ERR245677	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.4	33.8781013	-12.1399002	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS023444	ERR040121	reference guided alignment	Uganda	Kampala	UG	Eastern-Africa	1	13.3	32.58	0.35	Exact	Addis Ababa	38.7444992	9.0335999	East Tropical Africa	Africa
ERS1028701	ERR1200626	reference guided alignment	Ethiopia	Filtu	ET	Eastern-Africa	1	14.4	40.65	5.11	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS1028704	ERR1200629	reference guided alignment	Ethiopia	Negelle	ET	Eastern-Africa	1	14.2	38.67	7.36	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS1028707	ERR1200632	reference guided alignment	Ethiopia	Negelle	ET	Eastern-Africa	1	14.5	38.67	7.36	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS107959	ERR163963	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	35.5229988	-16.1203003	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS141551	ERR176483	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.3	34.9474983	-14.8505001	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142071	ERR181936	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	33.9124985	-10.8189001	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142242	ERR181723	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	33.8119011	-10.0374002	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142323	ERR181798	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	33.4131012	-13.7988005	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142332	ERR181807	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	35.1265984	-14.5886002	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142428	ERR190365	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	35.4262009	-14.6311998	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142442	ERR190377	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.2	35.8120003	-15.3316002	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142454	ERR190389	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.2	35.6837006	-15.2622004	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
